'Simulation','Policy','n_Public_Ambulance','n_Private_Ambulance','n_Car','PatientProbability','Patients_Created','Public_Ambulance_Saved','Private_Ambulance_Saved','Car_Saved','Dead','Alive','Public_Ambulance_Cost','Private_Ambulance_Cost','Total_Cost'
'Simulation 187',1,6,0,0,0.15,1480,1477,0,0,1,2,60000,0,60000
'Simulation 188',1,6,0,0,0.15,1530,1526,0,0,0,4,60000,0,60000
'Simulation 189',1,6,0,0,0.15,1487,1481,0,0,0,6,60000,0,60000
'Simulation 190',1,6,0,0,0.15,1524,1518,0,0,1,5,60000,0,60000
'Simulation 191',1,6,0,0,0.15,1483,1479,0,0,0,4,60000,0,60000
'Simulation 192',1,6,0,0,0.15,1501,1495,0,0,0,6,60000,0,60000
'Simulation 193',1,6,0,0,0.15,1499,1497,0,0,0,2,60000,0,60000
'Simulation 194',1,6,0,0,0.15,1494,1489,0,0,0,5,60000,0,60000
'Simulation 195',1,6,0,0,0.15,1527,1521,0,0,0,6,60000,0,60000
'Simulation 196',1,6,0,0,0.15,1518,1510,0,0,0,8,60000,0,60000
'Simulation 197',1,6,0,0,0.15,1474,1471,0,0,0,3,60000,0,60000
'Simulation 198',1,6,0,0,0.15,1464,1459,0,0,0,5,60000,0,60000
'Simulation 199',1,6,0,0,0.15,1472,1466,0,0,0,6,60000,0,60000
'Simulation 200',1,6,0,0,0.15,1437,1433,0,0,0,4,60000,0,60000
'AveragedSim',1,6.0,0.0,0.0,0.15,1486.75,1481.75,0.0,0.0,0.15,4.85,60000.0,0.0,60000.0
'Simulation 201',1,6,0,0,0.2,2026,2015,0,0,5,6,60000,0,60000
'Simulation 202',1,6,0,0,0.2,2031,2021,0,0,4,6,60000,0,60000
'Simulation 203',1,6,0,0,0.2,1939,1925,0,0,5,9,60000,0,60000
'Simulation 204',1,6,0,0,0.2,1961,1950,0,0,0,11,60000,0,60000
'Simulation 205',1,6,0,0,0.2,1971,1960,0,0,2,9,60000,0,60000
'Simulation 206',1,6,0,0,0.2,1950,1947,0,0,2,1,60000,0,60000
'Simulation 207',1,6,0,0,0.2,1987,1974,0,0,4,9,60000,0,60000
'Simulation 208',1,6,0,0,0.2,1989,1983,0,0,2,4,60000,0,60000
'Simulation 209',1,6,0,0,0.2,2026,2020,0,0,3,3,60000,0,60000
'Simulation 210',1,6,0,0,0.2,2038,2027,0,0,5,6,60000,0,60000
'Simulation 211',1,6,0,0,0.2,1993,1987,0,0,1,5,60000,0,60000
'Simulation 212',1,6,0,0,0.2,1975,1963,0,0,6,6,60000,0,60000
'Simulation 213',1,6,0,0,0.2,1997,1990,0,0,1,6,60000,0,60000
'Simulation 214',1,6,0,0,0.2,1998,1988,0,0,4,6,60000,0,60000
'Simulation 215',1,6,0,0,0.2,2053,2046,0,0,4,3,60000,0,60000
'Simulation 216',1,6,0,0,0.2,2020,2012,0,0,4,4,60000,0,60000
'Simulation 217',1,6,0,0,0.2,2015,2006,0,0,3,6,60000,0,60000
'Simulation 218',1,6,0,0,0.2,2021,2003,0,0,4,14,60000,0,60000
'Simulation 219',1,6,0,0,0.2,1961,1949,0,0,5,7,60000,0,60000
'Simulation 220',1,6,0,0,0.2,1939,1925,0,0,5,9,60000,0,60000
'AveragedSim',1,6.0,0.0,0.0,0.2,1994.5,1984.55,0.0,0.0,3.45,6.5,60000.0,0.0,60000.0
'Simulation 221',1,6,0,0,0.5,5082,3495,0,0,1562,25,60000,0,60000
'Simulation 222',1,6,0,0,0.5,5020,3795,0,0,1188,37,60000,0,60000
'Simulation 223',1,6,0,0,0.5,5083,3798,0,0,1256,29,60000,0,60000
'Simulation 224',1,6,0,0,0.5,4963,3587,0,0,1352,24,60000,0,60000
'Simulation 225',1,6,0,0,0.5,4881,3796,0,0,1057,28,60000,0,60000
'Simulation 226',1,6,0,0,0.5,5004,3548,0,0,1423,33,60000,0,60000
'Simulation 227',1,6,0,0,0.5,4867,3835,0,0,1008,24,60000,0,60000
'Simulation 228',1,6,0,0,0.5,4924,3641,0,0,1258,25,60000,0,60000
'Simulation 229',1,6,0,0,0.5,5013,3792,0,0,1182,39,60000,0,60000
'Simulation 230',1,6,0,0,0.5,5021,3814,0,0,1184,23,60000,0,60000
'Simulation 231',1,6,0,0,0.5,5070,3515,0,0,1530,25,60000,0,60000
'Simulation 232',1,6,0,0,0.5,4981,4025,0,0,930,26,60000,0,60000
'Simulation 233',1,6,0,0,0.5,5016,3730,0,0,1266,20,60000,0,60000
'Simulation 234',1,6,0,0,0.5,5026,3879,0,0,1126,21,60000,0,60000
'Simulation 235',1,6,0,0,0.5,4935,3737,0,0,1175,23,60000,0,60000
'Simulation 236',1,6,0,0,0.5,4977,3634,0,0,1322,21,60000,0,60000
'Simulation 237',1,6,0,0,0.5,5018,3571,0,0,1414,33,60000,0,60000
'Simulation 238',1,6,0,0,0.5,4975,3807,0,0,1146,22,60000,0,60000
'Simulation 239',1,6,0,0,0.5,5091,3550,0,0,1513,28,60000,0,60000
'Simulation 240',1,6,0,0,0.5,4939,3708,0,0,1199,32,60000,0,60000
'AveragedSim',1,6.0,0.0,0.0,0.5,4994.3,3712.85,0.0,0.0,1254.55,26.9,60000.0,0.0,60000.0
'Simulation 241',2,3,0,0,0.15,1465,698,0,0,753,14,30000,0,30000
'Simulation 242',2,3,0,0,0.15,1419,701,0,0,705,13,30000,0,30000
'Simulation 243',2,3,0,0,0.15,1547,640,0,0,883,24,30000,0,30000
'Simulation 244',2,3,0,0,0.15,1503,635,0,0,852,16,30000,0,30000
'Simulation 245',2,3,0,0,0.15,1426,741,0,0,671,14,30000,0,30000
'Simulation 246',2,3,0,0,0.15,1522,655,0,0,846,21,30000,0,30000
'Simulation 247',2,3,0,0,0.15,1533,663,0,0,858,12,30000,0,30000
'Simulation 248',2,3,0,0,0.15,1579,749,0,0,808,22,30000,0,30000
'Simulation 249',2,3,0,0,0.15,1530,632,0,0,885,13,30000,0,30000
'Simulation 250',2,3,0,0,0.15,1493,657,0,0,823,13,30000,0,30000
'Simulation 251',2,3,0,0,0.15,1579,749,0,0,808,22,30000,0,30000
'Simulation 252',2,3,0,0,0.15,1478,665,0,0,793,20,30000,0,30000
'Simulation 253',2,3,0,0,0.15,1502,773,0,0,711,18,30000,0,30000
'Simulation 254',2,3,0,0,0.15,1478,709,0,0,753,16,30000,0,30000
'Simulation 255',2,3,0,0,0.15,1540,724,0,0,801,15,30000,0,30000
'Simulation 256',2,3,0,0,0.15,1525,650,0,0,860,15,30000,0,30000
'Simulation 257',2,3,0,0,0.15,1450,801,0,0,632,17,30000,0,30000
'Simulation 258',2,3,0,0,0.15,1510,720,0,0,773,17,30000,0,30000
'Simulation 259',2,3,0,0,0.15,1522,769,0,0,740,13,30000,0,30000
'Simulation 260',2,3,0,0,0.15,1529,739,0,0,779,11,30000,0,30000
'AveragedSim',2,3.0,0.0,0.0,0.15,1506.5,703.5,0.0,0.0,786.7,16.3,30000.0,0.0,30000.0
'Simulation 261',2,3,0,0,0.2,2040,508,0,0,1513,19,30000,0,30000
'Simulation 262',2,3,0,0,0.2,2028,487,0,0,1521,20,30000,0,30000
'Simulation 263',2,3,0,0,0.2,1983,537,0,0,1430,16,30000,0,30000
'Simulation 264',2,3,0,0,0.2,2049,522,0,0,1511,16,30000,0,30000
'Simulation 265',2,3,0,0,0.2,2057,490,0,0,1547,20,30000,0,30000
'Simulation 266',2,3,0,0,0.2,2055,477,0,0,1552,26,30000,0,30000
'Simulation 267',2,3,0,0,0.2,1975,577,0,0,1381,17,30000,0,30000
'Simulation 268',2,3,0,0,0.2,2007,533,0,0,1458,16,30000,0,30000
'Simulation 269',2,3,0,0,0.2,1998,473,0,0,1507,18,30000,0,30000
'Simulation 270',2,3,0,0,0.2,2057,469,0,0,1563,25,30000,0,30000
'Simulation 271',2,3,0,0,0.2,1962,524,0,0,1423,15,30000,0,30000
'Simulation 272',2,3,0,0,0.2,2002,525,0,0,1444,33,30000,0,30000
'Simulation 273',2,3,0,0,0.2,1968,551,0,0,1401,16,30000,0,30000
'Simulation 274',2,3,0,0,0.2,1930,529,0,0,1388,13,30000,0,30000
'Simulation 275',2,3,0,0,0.2,1983,537,0,0,1430,16,30000,0,30000
'Simulation 276',2,3,0,0,0.2,2071,504,0,0,1549,18,30000,0,30000
'Simulation 277',2,3,0,0,0.2,2014,558,0,0,1437,19,30000,0,30000
'Simulation 278',2,3,0,0,0.2,1989,586,0,0,1377,26,30000,0,30000
'Simulation 279',2,3,0,0,0.2,1992,492,0,0,1479,21,30000,0,30000
'Simulation 280',2,3,0,0,0.2,1942,540,0,0,1378,24,30000,0,30000
'AveragedSim',2,3.0,0.0,0.0,0.2,2005.1,520.95,0.0,0.0,1464.45,19.7,30000.0,0.0,30000.0
'Simulation 281',2,3,0,0,0.5,4989,247,0,0,4687,55,30000,0,30000
'Simulation 282',2,3,0,0,0.5,5068,209,0,0,4805,54,30000,0,30000
'Simulation 283',2,3,0,0,0.5,4974,232,0,0,4693,49,30000,0,30000
'Simulation 284',2,3,0,0,0.5,5090,260,0,0,4765,65,30000,0,30000
'Simulation 285',2,3,0,0,0.5,5000,242,0,0,4695,63,30000,0,30000
'Simulation 286',2,3,0,0,0.5,4999,241,0,0,4699,59,30000,0,30000
'Simulation 287',2,3,0,0,0.5,5091,256,0,0,4778,57,30000,0,30000
'Simulation 288',2,3,0,0,0.5,5028,298,0,0,4677,53,30000,0,30000
'Simulation 289',2,3,0,0,0.5,4921,232,0,0,4638,51,30000,0,30000
'Simulation 290',2,3,0,0,0.5,4968,255,0,0,4650,63,30000,0,30000
