'Simulation','Policy','n_Public_Ambulance','n_Private_Ambulance','n_Car','PatientProbability','Patients_Created','Public_Ambulance_Saved','Private_Ambulance_Saved',SaveRate,'Car_Saved','Dead','Alive','Public_Ambulance_Cost','Private_Ambulance_Cost','Total_Cost'
'Simulation 46',1,3,2,0,0.75,3741,107,79,0.049719326,0,3471,84,15000,57300,72300
'Simulation 47',1,3,2,0,0.75,3774,115,75,0.050344462,0,3509,75,15000,57350,72350
'Simulation 48',1,3,2,0,0.75,3727,141,97,0.063858331,0,3409,80,15000,58900,73900
'AveragedSim',1,3,2,0,0.75,3747.333333,121,83.66666667,0.054616616,0,3463,79.66666667,15000,57850,72850
'Simulation 49',1,3,2,0,0.8,3981,123,60,0.04596835,0,3708,90,15000,59300,74300
'Simulation 50',1,3,2,0,0.8,4005,96,73,0.042197253,0,3751,85,15000,59750,74750
'Simulation 51',1,3,2,0,0.8,4006,126,77,0.050673989,0,3718,85,15000,59350,74350
'AveragedSim',1,3,2,0,0.8,3997.333333,115,70,0.046280854,0,3725.666667,86.66666667,15000,59466.66667,74466.66667
'Simulation 52',1,3,2,0,0.85,4245,101,65,0.039104829,0,3984,95,15000,61350,76350
'Simulation 53',1,3,2,0,0.85,4270,109,64,0.040515222,0,4005,92,15000,62050,77050
'Simulation 54',1,3,2,0,0.85,4251,119,72,0.044930605,0,3966,94,15000,62600,77600
'AveragedSim',1,3,2,0,0.85,4255.333333,109.6666667,67,0.041516528,0,3985,93.66666667,15000,62000,77000
'Simulation 55',1,3,2,0,0.9,4521,101,83,0.04069896,0,4241,96,15000,63100,78100
'Simulation 56',1,3,2,0,0.9,4488,101,62,0.036319073,0,4230,95,15000,62350,77350
'Simulation 57',1,3,2,0,0.9,4478,130,75,0.045779366,0,4176,97,15000,61800,76800
'AveragedSim',1,3,2,0,0.9,4495.666667,110.6666667,73.33333333,0.040928301,0,4215.666667,96,15000,62416.66667,77416.66667
'Simulation 58',1,3,2,0,0.95,4764,114,68,0.038203191,0,4477,105,15000,64100,79100
'Simulation 59',1,3,2,0,0.95,4753,103,79,0.038291605,0,4469,102,15000,65600,80600
'Simulation 60',1,3,2,0,0.95,4727,100,62,0.034271208,0,4465,100,15000,64950,79950
'AveragedSim',1,3,2,0,0.95,4748,105.6666667,69.66666667,0.036927829,0,4470.333333,102.3333333,15000,64883.33333,79883.33333
'Simulation 61',1,3,2,0,1,5000,83,51,0.0268,0,4758,108,15000,67350,82350
'Simulation 62',1,3,2,0,1,5000,102,60,0.0324,0,4733,105,15000,67550,82550
'Simulation 63',1,3,2,0,1,5000,103,58,0.0322,0,4734,105,15000,65600,80600
'AveragedSim',1,3,2,0,1,5000,96,56.33333333,0.030466667,0,4741.666667,106,15000,66833.33333,81833.33333
